38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2016,2016,2016
ACEH,59.4,25.49,35.23
SUMATERA UTARA,52.93,27.94,40.44
SUMATERA BARAT,66.72,35.42,48.19
RIAU,68.61,36.97,49.23
JAMBI,60.04,35.52,42.81
SUMATERA SELATAN,61.98,27.02,39.1
BENGKULU,72.16,26.69,40.8
LAMPUNG,54.62,26.56,33.61
KEP. BANGKA BELITUNG,58.11,32.84,45.51
KEP. RIAU,71.54,33.54,65.86
DKI JAKARTA,76.96,-,76.96
JAWA BARAT,57.98,31.64,49.43
JAWA TENGAH,56.96,38.37,46.93
DI YOGYAKARTA,73.93,45.17,65.36
JAWA TIMUR,58.92,34.07,46.11
BANTEN,67.53,27.94,55.43
BALI,70.25,43.57,60.65
NUSA TENGGARA BARAT,44.13,27.43,34.59
NUSA TENGGARA TIMUR,65.65,17.42,27.26
KALIMANTAN BARAT,66.98,24.77,37.62
KALIMANTAN TENGAH,64.78,31.25,42.95
KALIMANTAN SELATAN,65.3,38.84,50.26
KALIMANTAN TIMUR,74.4,41.69,62.68
KALIMANTAN UTARA,68.64,44.25,58.32
SULAWESI UTARA,65.83,40.61,52.41
SULAWESI TENGAH,62.9,26.28,35.55
SULAWESI SELATAN,68.32,34.66,47.14
SULAWESI TENGGARA,68.68,30.29,41.9
GORONTALO,62.47,36.42,45.92
SULAWESI BARAT,59.6,27.47,33.71
MALUKU,67.58,24.82,42.66
MALUKU UTARA,67.33,15.84,30.18
PAPUA BARAT,65.96,22.63,39.39
PAPUA BARAT DAYA,-,-,-
PAPUA,58.86,6.49,19.26
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,61.88,31.79,47.22